County_State,County,State,SVI_CTGY,Metro_status,Census2019,FIPS,Census2019_65PlusPop,Census2019_18to64Pop
hancock_ky,Hancock County,KY,2.0,1.0,8722.0,21091,1541.0,5018.0
butler_ks,Butler County,KS,2.0,1.0,66911.0,20015,10502.0,39430.0
chautauqua_ny,Chautauqua County,NY,3.0,0.0,126903.0,36013,26285.0,74989.0
new castle_de,New Castle County,DE,2.0,1.0,558753.0,10003,89961.0,349393.0
lawrence_ar,Lawrence County,AR,3.0,0.0,16406.0,05075,3268.0,9504.0
ravalli_mt,Ravalli County,MT,1.0,0.0,43806.0,30081,11628.0,23963.0
lyon_mn,Lyon County,MN,2.0,0.0,25474.0,27083,4192.0,14728.0
wadena_mn,Wadena County,MN,3.0,0.0,13682.0,27159,2921.0,7221.0
upton_tx,Upton County,TX,3.0,0.0,3657.0,48461,537.0,2073.0
west baton rouge parish_la,West Baton Rouge Parish,LA,4.0,1.0,26465.0,22121,3775.0,16319.0
unknown_ct,Unknown County,CT,,,,UNK,,
walworth_wi,Walworth County,WI,2.0,0.0,103868.0,55127,19065.0,63767.0
mchenry_nd,McHenry County,ND,1.0,0.0,5745.0,38049,1202.0,3178.0
lexington city_va,Lexington city,VA,2.0,0.0,7446.0,51678,1124.0,5344.0
dewey_sd,Dewey County,SD,4.0,0.0,5892.0,46041,586.0,3072.0
cannon_tn,Cannon County,TN,2.0,1.0,14678.0,47015,2722.0,8806.0
sheridan_mt,Sheridan County,MT,1.0,0.0,3309.0,30091,770.0,1849.0
carroll_ga,Carroll County,GA,4.0,1.0,119992.0,13045,16597.0,75090.0
gilpin_co,Gilpin County,CO,1.0,1.0,6243.0,08047,1112.0,4221.0
tolland_ct,Tolland County,CT,1.0,1.0,150721.0,09013,24571.0,100247.0
gila_az,Gila County,AZ,4.0,0.0,54018.0,04007,15869.0,27495.0
woodford_ky,Woodford County,KY,1.0,1.0,26734.0,21239,5180.0,15722.0
waller_tx,Waller County,TX,4.0,1.0,55246.0,48473,6546.0,35375.0
geary_ks,Geary County,KS,3.0,0.0,31670.0,20061,2858.0,19069.0
yell_ar,Yell County,AR,4.0,0.0,21341.0,05149,3858.0,12305.0
crockett_tn,Crockett County,TN,4.0,1.0,14230.0,47033,2733.0,8175.0
custer_ne,Custer County,NE,1.0,0.0,10777.0,31041,2451.0,5726.0
union_in,Union County,IN,1.0,1.0,7054.0,18161,1390.0,4198.0
clinton_in,Clinton County,IN,3.0,0.0,32399.0,18023,5440.0,18508.0
billings_nd,Billings County,ND,1.0,0.0,928.0,38007,211.0,524.0
tate_ms,Tate County,MS,4.0,1.0,28321.0,28137,4863.0,17046.0
jenkins_ga,Jenkins County,GA,4.0,0.0,8676.0,13165,1507.0,5452.0
jefferson_mt,Jefferson County,MT,1.0,0.0,12221.0,30043,2718.0,7014.0
breckinridge_ky,Breckinridge County,KY,3.0,0.0,20477.0,21027,4047.0,11825.0
evangeline parish_la,Evangeline Parish,LA,4.0,0.0,33395.0,22039,5286.0,19787.0
