County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122
etowah_al,10300.0,10.1,9.0,0.0,36065.0,35.3,9.0,0.0,50171.0,49.1,11.0,35.8
van buren_ar,2236.0,13.5,9.0,0.0,6850.0,41.4,10.0,0.0,7790.0,47.1,11.0,49.0
st. lucie_fl,50578.0,15.4,9.0,0.0,183249.0,55.8,11.0,0.0,220740.0,67.2,12.0,39.8
unknown_wy,1213.0,0.0,0.0,0.0,8826.0,0.0,0.0,0.0,10313.0,0.0,0.0,42.9
oswego_ny,15342.0,13.1,9.0,0.0,62489.0,53.4,12.0,0.0,73227.0,62.5,12.0,55.6
liberty_fl,980.0,11.7,13.0,0.0,2888.0,34.6,13.0,0.0,3230.0,38.7,14.0,32.3
livingston_ny,8589.0,13.7,5.0,0.0,34150.0,54.3,8.0,0.0,39642.0,63.0,8.0,57.0
nelson_nd,1077.0,37.4,1.0,0.0,1847.0,64.2,4.0,0.0,2190.0,76.1,4.0,58.2
thomas_ga,2717.0,6.1,13.0,0.0,10444.0,23.5,13.0,0.0,24622.0,55.4,15.0,37.7
st. louis_mo,138108.0,13.9,5.0,0.0,597465.0,60.1,8.0,0.0,742482.0,74.7,8.0,47.1
george_ms,3165.0,12.9,9.0,0.0,8522.0,34.8,9.0,0.0,11341.0,46.3,11.0,27.4
palm beach_fl,277161.0,18.5,9.0,0.0,956866.0,63.9,12.0,0.0,1139441.0,76.1,12.0,40.9
somerset_md,3230.0,12.6,13.0,0.0,12086.0,47.2,15.0,0.0,14675.0,57.3,16.0,49.6
sebastian_ar,13129.0,10.3,13.0,0.0,60085.0,47.0,14.0,0.0,75755.0,59.3,15.0,34.7
dunn_nd,440.0,9.9,1.0,0.0,973.0,22.0,1.0,0.0,1330.0,30.1,1.0,38.0
converse_wy,1983.0,14.3,1.0,0.0,4118.0,29.8,1.0,0.0,5182.0,37.5,2.0,43.0
dekalb_il,13015.0,12.4,5.0,0.0,59189.0,56.4,7.0,0.0,63930.0,60.9,8.0,49.3
montezuma_co,1873.0,7.2,5.0,0.0,15494.0,59.2,8.0,0.0,20770.0,79.3,8.0,47.7
mccone_mt,113.0,6.8,1.0,0.0,265.0,15.9,1.0,0.0,305.0,18.3,1.0,74.0
floyd_va,298.0,1.9,1.0,0.0,926.0,5.9,1.0,0.0,6726.0,42.7,2.0,16.4
ouachita parish_la,20093.0,13.1,13.0,0.0,63664.0,41.5,14.0,0.0,78192.0,51.0,15.0,35.7
camden_ga,7231.0,13.2,9.0,0.0,23378.0,42.8,10.0,0.0,35555.0,65.0,12.0,22.9
travis_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025597.0,80.5,8.0,43.7
otsego_mi,4391.0,17.8,5.0,0.0,12106.0,49.1,7.0,0.0,14122.0,57.2,8.0,54.0
boyd_ky,9003.0,19.3,9.0,0.0,21066.0,45.1,10.0,0.0,26132.0,55.9,11.0,39.1
preston_wv,4343.0,13.0,9.0,0.0,12145.0,36.3,10.0,0.0,20582.0,61.6,12.0,43.5
columbia_pa,12479.0,19.2,5.0,0.0,38390.0,59.1,8.0,0.0,45628.0,70.2,8.0,50.2
carroll_oh,2734.0,10.2,1.0,0.0,8304.0,30.9,2.0,0.0,12329.0,45.8,3.0,54.0
lucas_oh,52198.0,12.2,9.0,0.0,170010.0,39.7,10.0,0.0,264832.0,61.8,12.0,49.5
minidoka_id,1959.0,9.3,9.0,0.0,6910.0,32.8,9.0,0.0,9806.0,46.6,11.0,33.6
bollinger_mo,1720.0,14.2,5.0,0.0,3799.0,31.3,5.0,0.0,4485.0,37.0,6.0,33.9
