,County_State,Pct_Hesitant_Feb22,Pct_Somewhat_Hesitant_Feb22,Pct_Highly_Hesitant_Feb22,Pct_Uninsured,SVI_Socio,SVI_HHDisab,SVI_Minority,SVI_HousingTransp,SVI_Overall,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122,SVI_Ctgy,Metro_Status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,State,Candidate_Won,Pct_Trump,Pct_Biden,Hesitant_nzip,Somewhat_Hesitant_nzip,Highly_Hesitant_nzip,Census2019_Pct_65Plus,Missing_March21,Missing_Sept21,Missing_March22,Dose1_Pop_Pct_090121_impute,Series_Complete_Pop_Pct_090121_impute,Cluster,county
1238,henderson_nc,0.205,0.06,0.145,0.1136985698569857,0.3761562587458746,0.5519392844884489,0.3866425152915291,0.5074203863586358,0.4375997870187018,16.9,10.2,53.4,46.7,75.6,57.3,35.0,2.0,1.0,117417.0,30961.0,64490.0,NC,1.0,0.586,0.414,3.075,0.8999999999999999,2.175,0.2636841343246719,0,0,0,53.4,46.7,1,Henderson County
1239,henderson_tn,0.272,0.068,0.204,0.0932912164830037,0.7387451739114828,0.7078536523206145,0.2297452277540471,0.512428385799921,0.6012420007896909,15.4,9.1,38.9,32.0,46.2,40.9,41.4,3.0,0.0,28117.0,5328.0,16446.0,TN,1.0,0.815,0.185,3.5360000000000005,0.8840000000000001,2.652,0.1894939004872497,0,0,0,38.9,32.0,0,Henderson County
1240,henderson_tx,0.249,0.079,0.17,0.185259756400696,0.6231363547104151,0.7306838578175491,0.4104919475515785,0.5486421215510813,0.615094330101914,0.0,0.0,0.0,0.0,44.7,38.9,38.9,3.0,0.0,82737.0,18534.0,46601.0,TX,1.0,0.796,0.204,3.237,1.027,2.21,0.2240110228797273,1,1,0,22.35,22.35,2,Henderson County
1241,hendricks_in,0.16,0.033,0.127,0.0633155213122902,0.2415596843544178,0.4262302087734559,0.3103344631539704,0.2520587237479806,0.2259753808872872,18.0,9.8,65.8,61.1,78.8,71.1,44.1,1.0,1.0,170311.0,24197.0,104082.0,IN,1.0,0.608,0.392,2.72,0.561,2.159,0.1420753797464638,0,0,0,65.8,61.1,1,Hendricks County
1242,hendry_fl,0.232,0.059,0.173,0.2574824930844568,0.8731451940090214,0.7887895731053904,0.8841846711690383,0.9259727789269072,0.9553003513843548,7.1,4.5,45.6,36.2,59.2,48.5,24.6,4.0,0.0,42022.0,5779.0,25021.0,FL,1.0,0.611,0.389,1.16,0.295,0.865,0.1375232021322164,0,0,0,45.6,36.2,0,Hendry County
1243,hennepin_mn,0.092,0.025,0.067,0.0519725968410607,0.2886300580827825,0.317886415460251,0.5001090977743028,0.4949750299074528,0.3543703970447066,15.5,7.8,67.3,61.6,79.7,73.2,58.8,2.0,1.0,1265843.0,183653.0,806054.0,MN,0.0,0.295,0.705,6.624,1.8,4.824,0.1450835530156583,0,0,0,67.3,61.6,1,Hennepin County
1244,henrico_va,0.079,0.034,0.046,0.0821392817879757,0.3679201165697299,0.4281284557888724,0.5577729752304678,0.3487387167502963,0.3765940244194545,5.5,3.1,23.4,20.8,61.4,54.6,23.4,2.0,1.0,330818.0,52720.0,203940.0,VA,0.0,0.364,0.636,1.343,0.5780000000000001,0.782,0.1593625498007968,0,0,0,23.4,20.8,1,Henrico County
1245,henry_al,0.339,0.075,0.264,0.1119481429572529,0.6876338005138987,0.7547148213034337,0.2885675251109554,0.4230155687923382,0.5832466246204158,13.8,6.1,39.5,30.7,54.3,44.9,33.8,3.0,1.0,17205.0,4031.0,9666.0,AL,1.0,0.711,0.289,2.712,0.6,2.112,0.234292356873002,0,0,0,39.5,30.7,0,Henry County
1246,henry_ga,0.205,0.078,0.127,0.108893979856037,0.5029804249300746,0.5173949242455052,0.5556148377593118,0.2525605742249454,0.4026210815744644,3.6,2.1,19.9,17.2,50.5,43.6,36.3,2.0,1.0,234561.0,28018.0,147267.0,GA,0.0,0.403,0.597,2.05,0.78,1.27,0.1194486722004084,0,0,0,19.9,17.2,2,Henry County
1247,henry_ia,0.335,0.101,0.235,0.0383920505871725,0.4501127270902338,0.7258670631335943,0.2801489511191408,0.5526489661748469,0.5025134698384021,14.6,4.7,49.7,45.6,57.5,53.2,52.1,2.0,0.0,19954.0,3892.0,11774.0,IA,1.0,0.652,0.348,3.685,1.111,2.585,0.1950486118071564,0,0,0,49.7,45.6,0,Henry County
